ID,Title,Author,Year,Format,File
1,The Mars Room,Rachel Kushner,2018,PDF,ebook/ebook pdf.pdf 
2,Tentang Kamu,Tere Liye,2016,PDF,ebook/Tere liye-tentang kamu.pdf
3,Bahagia, Kenapa Tidak?,Reza A.A Wattimena,2015,PDF,ebook/Bahagia kenapa tidak 1.pdf
4,Yang Fana Adalah Waktu,Sapardi Djoko Damono,2018,PDF,ebook/Yang fana adalah waktu.pdf
5,Bulan,Tere Liye,2015,PDF,ebook/Tere Liye-Bulan.pdf
6,Hercolubus or Red Planet,Joaquin Enrique Amortegui Valbuena,2024,PDF,ebook/EN Hercolubus.pdf
7,Laskar Pelangi,Andrea Hirata,2005,PDF,ebook/laskar Pelangi.pdf
8,Menjadi Guru Sekolah Minggu yang Efektif,Ayub Yahya,2011,PDF,ebook/Menjadi Guru Sekolah Minggu.pdf
9,Bumi,Tere Liye,2014,PDF,ebook/Tere liye-Bumi.pdf
10,The Count of Monte Cristo,Alexandre Dumas,2001,PDF,ebook/The Count of Monte Cristo.pdf
